order_no,slug,bolum,alt_bolum,kayit_turu,ekleyen,baslik,aciklama,url,file_id,dosya_tipi,mime_type,gizlilik,public_import,import_onerisi,etiketler,source_path,status
11,i-s-gelistirme-waadd-waad-potansi-yel,İş Geliştirme,WAADD,Link,UBT,WAAD POTANSİYEL,"WAADD potansiyel iş modeli, pazar veya iş geliştirme fırsatlarını değerlendirmek için hazırlanmış dokümandır.",https://docs.google.com/document/d/1Cg0NPe1uu0fOtIR1pe55uDXtIMuUVDqiK_ut0F3PM3k/edit?usp=drivesdk,1Cg0NPe1uu0fOtIR1pe55uDXtIMuUVDqiK_ut0F3PM3k,Google Doc,application/vnd.google-apps.document,internal,False,IMPORT_INTERNAL_DB,"waadd,potansiyel,iş geliştirme",WAADD,active
12,cadde-urun-ruhu-cadde-nedir-1-png,Cadde,Ürün Ruhu,Link,UBT,Cadde Nedir ?1.png,Cadde konseptini görsel olarak anlatmak için hazırlanmış ilk açıklayıcı görseldir.,https://drive.google.com/file/d/1D7w2yWPApkEqm4dXn9wp2QnkysiJmvnj/view?usp=drivesdk,1D7w2yWPApkEqm4dXn9wp2QnkysiJmvnj,PNG görsel,image/png,public,True,IMPORT_PUBLIC_DB,"cadde,görsel,ürün",Cadde / Ürün Ruhu,active
13,cadde-urun-ruhu-cadde-nedir-2-png,Cadde,Ürün Ruhu,Link,UBT,Cadde Nedir 2.png,Cadde konseptini görsel olarak anlatmak için hazırlanmış ikinci açıklayıcı görseldir.,https://drive.google.com/file/d/1-u29f_LHqdDDmSj1-SWd4MYyq7LOcglT/view?usp=drivesdk,1-u29f_LHqdDDmSj1-SWd4MYyq7LOcglT,PNG görsel,image/png,public,True,IMPORT_PUBLIC_DB,"cadde,görsel,ürün",Cadde / Ürün Ruhu,active
14,cadde-urun-ruhu-cadde-nedir-3-png,Cadde,Ürün Ruhu,Link,UBT,Cadde Nedir 3.png,Cadde konseptini görsel olarak anlatmak için hazırlanmış üçüncü açıklayıcı görseldir.,https://drive.google.com/file/d/1mRWZeDufbHf9LfQpRXbnKosTW7f2NJZz/view?usp=drivesdk,1mRWZeDufbHf9LfQpRXbnKosTW7f2NJZz,PNG görsel,image/png,public,True,IMPORT_PUBLIC_DB,"cadde,görsel,ürün",Cadde / Ürün Ruhu,active
15,cadde-urun-ruhu-cadde-urun-ruhu,Cadde,Ürün Ruhu,Link,UBT,CADDE ÜRÜN RUHU,"CorteQS Cadde ürününün konumlandırmasını, ruhunu ve temel kullanım mantığını anlatan dokümandır.",https://docs.google.com/document/d/1rZNlImYSlpeRRmwswnT1oLTFqpwOuExVPMBk75fJ3qw/edit?usp=drivesdk,1rZNlImYSlpeRRmwswnT1oLTFqpwOuExVPMBk75fJ3qw,Google Doc,application/vnd.google-apps.document,internal,False,IMPORT_INTERNAL_DB,"cadde,ürün,konsept",Cadde / Ürün Ruhu,active
16,platform-notlari-genel-untitled-spreadsheet,Platform Notları,Genel,Link,UBT,Untitled spreadsheet,Platform notları kapsamında oluşturulmuş geçici veya henüz adlandırılmamış tablo dosyasıdır.,https://docs.google.com/spreadsheets/d/1Vx-z5mPpV6I-MDjj0TL8yoegoKiFabToxLkjTQ9jkQA/edit?usp=drivesdk,1Vx-z5mPpV6I-MDjj0TL8yoegoKiFabToxLkjTQ9jkQA,Google Sheet,application/vnd.google-apps.spreadsheet,internal,False,IMPORT_INTERNAL_DB,"platform,not,tablo",Platform Notları / Genel,active
17,platform-notlari-gunluk-rapor-corteqs-gunluk-rapor-2026-05-12-docx,Platform Notları,Günlük Rapor,Link,UBT,CorteQS_Gunluk_Rapor_2026-05-12.docx,12 Mayıs 2026 tarihli CorteQS günlük ilerleme raporunu içeren dokümandır.,https://docs.google.com/document/d/1-HOBJSxuMlgs8P7M34202v6hV6PsXhHr/edit?usp=drivesdk&rtpof=true&sd=true,1-HOBJSxuMlgs8P7M34202v6hV6PsXhHr,DOCX,application/vnd.openxmlformats-officedocument.wordprocessingml.document,internal,False,IMPORT_INTERNAL_DB,"rapor,günlük,corteqs",Platform Notları / Günlük Rapor,active
18,platform-notlari-cadde-corteqs-cadde-kural-seti-docx,Platform Notları,Cadde,Link,UBT,CorteQS_Cadde_Kural_Seti.docx,"Cadde alanında kullanılacak davranış, içerik ve moderasyon kurallarını içeren dokümandır.",https://docs.google.com/document/d/1i3MZ9YHQkOr5A9_aqh7iiMcv-Cb_R2D-/edit?usp=drivesdk&rtpof=true&sd=true,1i3MZ9YHQkOr5A9_aqh7iiMcv-Cb_R2D-,DOCX,application/vnd.openxmlformats-officedocument.wordprocessingml.document,internal,False,IMPORT_INTERNAL_DB,"cadde,kural,moderasyon",Platform Notları / Cadde,active
19,platform-notlari-kod-aciklamalari-platform-kod-aciklamlari,Platform Notları,Kod Açıklamaları,Link,UBT,PLATFORM KOD  AÇIKLAMLARI,Platform kod açıklamaları ve teknik notların takip edildiği tablo dosyasıdır.,https://docs.google.com/spreadsheets/d/1UDMb3GK-WyMmkUxeg4lH9EzE4u9f1xmEYfsUxS2Q6zg/edit?usp=drivesdk,1UDMb3GK-WyMmkUxeg4lH9EzE4u9f1xmEYfsUxS2Q6zg,Google Sheet,application/vnd.google-apps.spreadsheet,internal,False,IMPORT_INTERNAL_DB,"kod,platform,teknik",Platform Notları / Kod Açıklamaları,active
20,founders-bio-kurucu-biyografisi-burak-a-bio-v1,Founders Bio,Kurucu Biyografisi,Link,UBT,BURAK A.BIO V1,Burak Akcakanat için hazırlanmış kurucu biyografisi taslağıdır.,https://docs.google.com/document/d/1R7PbCglkaWJ7proslvIGaBVYVNcIryCGOvZbQcJoqYk/edit?usp=drivesdk,1R7PbCglkaWJ7proslvIGaBVYVNcIryCGOvZbQcJoqYk,Google Doc,application/vnd.google-apps.document,internal,False,IMPORT_INTERNAL_DB,"founder,bio,burak",Founders Bio / Kurucu Biyografisi,active
21,finans-odeme-mimarisi-stri-pe-odeme-si-stemi-docx,Finans,Ödeme Mimarisi,Link,UBT,STRİPE- ÖDEME SİSTEMİ.docx,Stripe ödeme altyapısı ve ödeme sistemi mimarisini anlatan dokümandır.,https://docs.google.com/document/d/131unpyUZKYHyG8O3YuTZBQYMSYJxLv8r/edit?usp=drivesdk&rtpof=true&sd=true,131unpyUZKYHyG8O3YuTZBQYMSYJxLv8r,DOCX,application/vnd.openxmlformats-officedocument.wordprocessingml.document,internal,False,IMPORT_INTERNAL_DB,"stripe,ödeme,finans",ÖDEME MİMARİSİ,active
22,teknoloji-canli-gorusme-daily-co-canli-gorusme,Teknoloji,Canlı Görüşme,Link,UBT,Daily.co Canlı Görüşme,Daily.co üzerinden canlı görüşme entegrasyonu veya kullanım senaryosunu anlatan dokümandır.,https://docs.google.com/document/d/12dp9ZacQqdrnbzh1vMi_1FDHPylhs7SP6LLMk0jsI5w/edit?usp=drivesdk,12dp9ZacQqdrnbzh1vMi_1FDHPylhs7SP6LLMk0jsI5w,Google Doc,application/vnd.google-apps.document,internal,False,IMPORT_INTERNAL_DB,"daily,video,entegrasyon",Teknoloji / Canlı Görüşme,active
23,teknoloji-diaspora-globe-corteqs-diaspora-globe-docx,Teknoloji,Diaspora Globe,Link,UBT,CorteQS Diaspora Globe.docx,CorteQS Diaspora Globe özelliğinin teknik ve ürünsel açıklamasını içeren dokümandır.,https://docs.google.com/document/d/1I6wIaNxigq-8ex1Vf6Daz2nFizTYFl6j/edit?usp=drivesdk&rtpof=true&sd=true,1I6wIaNxigq-8ex1Vf6Daz2nFizTYFl6j,DOCX,application/vnd.openxmlformats-officedocument.wordprocessingml.document,internal,False,IMPORT_INTERNAL_DB,"globe,harita,teknoloji",Teknoloji / Diaspora Globe,active
24,teknoloji-whatsapp-bot-whatsapp-bot-docx,Teknoloji,WhatsApp Bot,Link,UBT,whatsapp  Bot.docx,CorteQS WhatsApp bot yapısı ve kullanım senaryoları için hazırlanmış teknik dokümandır.,https://docs.google.com/document/d/1vTBYEMgZ8qrihYaTwy5S1T_3EFfboZdc/edit?usp=drivesdk&rtpof=true&sd=true,1vTBYEMgZ8qrihYaTwy5S1T_3EFfboZdc,DOCX,application/vnd.openxmlformats-officedocument.wordprocessingml.document,internal,False,IMPORT_INTERNAL_DB,"whatsapp,bot,teknoloji",Teknoloji / WhatsApp Bot,active
25,teknoloji-araclar-tools-xlsx,Teknoloji,Araçlar,Link,UBT,TOOLS.xlsx,CorteQS projesinde kullanılan araçların veya teknik kaynakların listelendiği tablo dosyasıdır.,https://docs.google.com/spreadsheets/d/1l0CQpSvwgBp_KzpSaUuBoYxh-odKQ25e/edit?usp=drivesdk&rtpof=true&sd=true,1l0CQpSvwgBp_KzpSaUuBoYxh-odKQ25e,XLSX,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,internal,False,IMPORT_INTERNAL_DB,"tools,araçlar,teknoloji",Teknoloji / Araçlar,active
26,proje-yonetimi-features-features-by-ba,Proje Yönetimi,Features,Link,UBT,Features by BA,CorteQS özelliklerinin ve geliştirme başlıklarının takip edildiği proje yönetimi tablosudur.,https://docs.google.com/spreadsheets/d/1PVIFaQZYlz2rHfuaoN3kfJyqVTzJuH7xPHMomdKaSN4/edit?usp=drivesdk,1PVIFaQZYlz2rHfuaoN3kfJyqVTzJuH7xPHMomdKaSN4,Google Sheet,application/vnd.google-apps.spreadsheet,internal,False,IMPORT_INTERNAL_DB,"features,backlog,proje",Proje Yönetimi / Features,active
27,proje-yonetimi-audit-audit-gpt-claude,Proje Yönetimi,Audit,Link,UBT,Audit GPT+ Claude,GPT ve Claude çıktıları veya proje denetimi için hazırlanmış audit notları dokümanıdır.,https://docs.google.com/document/d/1VzeFig_2GPPPf0_Yo_utY91KmxJeKC3P5jYRQWxelzI/edit?usp=drivesdk,1VzeFig_2GPPPf0_Yo_utY91KmxJeKC3P5jYRQWxelzI,Google Doc,application/vnd.google-apps.document,internal,False,IMPORT_INTERNAL_DB,"audit,gpt,claude",Proje Yönetimi / Audit,active
28,proje-yonetimi-toplanti-toplanti-kayitlari-xlsx,Proje Yönetimi,Toplantı,Link,UBT,Toplantı Kayıtları.xlsx,CorteQS toplantı kayıtlarının ve görüşme notlarının takip edildiği tablo dosyasıdır.,https://docs.google.com/spreadsheets/d/1RryP5_k7fiwtjEwurMspocpSLFDOOKNg/edit?usp=drivesdk&rtpof=true&sd=true,1RryP5_k7fiwtjEwurMspocpSLFDOOKNg,XLSX,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,internal,False,IMPORT_INTERNAL_DB,"toplantı,kayıt,proje",Proje Yönetimi / Toplantı,active
29,proje-yonetimi-dokumantasyon-dokumentasyon-v1-ubt-md,Proje Yönetimi,Dokümantasyon,Link,UBT,dokumentasyon_v1_ubt.md,CorteQS projesi için hazırlanmış UBT imzalı teknik veya ürün dokümantasyonu markdown dosyasıdır.,https://drive.google.com/file/d/1MjQCm9ywTqPJhkU3Ye71PcGjMXCqxmQI/view?usp=drivesdk,1MjQCm9ywTqPJhkU3Ye71PcGjMXCqxmQI,Markdown,text/markdown,internal,False,IMPORT_INTERNAL_DB,"dokümantasyon,markdown,ubt",Proje Yönetimi / Dokümantasyon,active
30,proje-yonetimi-todo-to-do-list-xlsx,Proje Yönetimi,Todo,Link,UBT,To do list.xlsx,Proje görevleri ve yapılacak işlerin takip edildiği todo tablosudur.,https://docs.google.com/spreadsheets/d/1ZNUmekE6J3N6tKyyUr_aKQ6Wpk-DCGt-/edit?usp=drivesdk&rtpof=true&sd=true,1ZNUmekE6J3N6tKyyUr_aKQ6Wpk-DCGt-,XLSX,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,internal,False,IMPORT_INTERNAL_DB,"todo,görev,proje",Proje Yönetimi / Todo,active
31,proje-yonetimi-ozet-corteqs-gpt-ozet-dokuman-burak-docx,Proje Yönetimi,Özet,Link,UBT,CorteQS GPT Özet Döküman BURAK.docx,CorteQS projesinin genel özetini ve Burak ile ilgili çalışma notlarını içeren dokümandır.,https://docs.google.com/document/d/1_RnN9IIpECFXJa4hzZjWioKu_OT5wv-A/edit?usp=drivesdk&rtpof=true&sd=true,1_RnN9IIpECFXJa4hzZjWioKu_OT5wv-A,DOCX,application/vnd.openxmlformats-officedocument.wordprocessingml.document,internal,False,IMPORT_INTERNAL_DB,"özet,gpt,burak",Proje Yönetimi / Özet,active
32,hukuk-uyum-vergi-ve-kvkk-global-vergi-kvkk-docx,Hukuk & Uyum,Vergi ve KVKK,Link,UBT,GLOBAL VERGİ_ KVKK.docx,"Global vergi, KVKK ve yasal uyumluluk konularını ele alan dokümandır.",https://docs.google.com/document/d/1dOlJbyA-r4BQjMY3CYSVMY7350H3-Ep3/edit?usp=drivesdk&rtpof=true&sd=true,1dOlJbyA-r4BQjMY3CYSVMY7350H3-Ep3,DOCX,application/vnd.openxmlformats-officedocument.wordprocessingml.document,confidential,False,IMPORT_INTERNAL_DB,"vergi,kvkk,hukuk,uyum",VERGİ VE YASAL UYUMLULUK,active
33,finans-sirket-kurulus-belgeleri-corteqs-global-l-l-c-formation-pdf,Finans,Şirket Kuruluş Belgeleri,Link,UBT,CORTEQS GLOBAL L.L.C. - Formation.pdf,CorteQS Global L.L.C. kuruluş sürecine ait formation belgesidir.,https://drive.google.com/file/d/1HpJ2TiUXeoAaE_oQiLx4ahHWUReWuhqG/view?usp=drivesdk,1HpJ2TiUXeoAaE_oQiLx4ahHWUReWuhqG,PDF,application/pdf,confidential,False,IMPORT_INTERNAL_DB,"şirket,kuruluş,finans,hukuk",MUHASEBE DOSYALARI / ŞİRKET KURULUŞ BELGELERİ,active
34,finans-sirket-kurulus-belgeleri-corteqs-global-l-l-c-ss4-pdf,Finans,Şirket Kuruluş Belgeleri,Link,UBT,CorteQS Global L.L.C. - SS4.pdf,CorteQS Global L.L.C. için SS4 veya EIN başvuru/işlem belgesidir.,https://drive.google.com/file/d/194j-VsNmJ3w8Kuxgt2leRrofumjZXigA/view?usp=drivesdk,194j-VsNmJ3w8Kuxgt2leRrofumjZXigA,PDF,application/pdf,confidential,False,IMPORT_INTERNAL_DB,"şirket,kuruluş,finans,hukuk",MUHASEBE DOSYALARI / ŞİRKET KURULUŞ BELGELERİ,active
35,finans-sirket-kurulus-belgeleri-corteqs-global-l-l-c-certificate-of-formation-pdf,Finans,Şirket Kuruluş Belgeleri,Link,UBT,CorteQS Global L.L.C. - Certificate of Formation.pdf,CorteQS Global L.L.C. şirket kuruluş sertifikasını içeren resmi belgedir.,https://drive.google.com/file/d/1wFpnEb5JdvwAjC7jpFFGGaJh0f7Q7tFo/view?usp=drivesdk,1wFpnEb5JdvwAjC7jpFFGGaJh0f7Q7tFo,PDF,application/pdf,confidential,False,IMPORT_INTERNAL_DB,"şirket,kuruluş,finans,hukuk",MUHASEBE DOSYALARI / ŞİRKET KURULUŞ BELGELERİ,active
36,finans-nisan-2026-google-cloud-xdb-jpg,Finans,Nisan 2026,Link,UBT,GOOGLE CLOUD XDB .jpg,Google Cloud kullanımı veya ödeme kaydına ait finansal ekran görüntüsüdür.,https://drive.google.com/file/d/1Qa3u7dpKPOvzv9KIC-azZ4y5Q1nLpW5S/view?usp=drivesdk,1Qa3u7dpKPOvzv9KIC-azZ4y5Q1nLpW5S,JPEG görsel,image/jpeg,confidential,False,IMPORT_INTERNAL_DB,"muhasebe,fatura,ödeme",MUHASEBE DOSYALARI / NİSAN 2026,active
37,finans-nisan-2026-invoice-ljp3ib9q-0001-gpt-business-subsc-pdf,Finans,Nisan 2026,Link,UBT,Invoice-LJP3IB9Q-0001.GPT BUSINESS SUBSC.pdf,GPT Business aboneliğine ait fatura belgesidir.,https://drive.google.com/file/d/1p2-JJAt8wnHeAcmvYhZpSGQ5I_DtNWZ8/view?usp=drivesdk,1p2-JJAt8wnHeAcmvYhZpSGQ5I_DtNWZ8,PDF,application/pdf,confidential,False,IMPORT_INTERNAL_DB,"muhasebe,fatura,ödeme",MUHASEBE DOSYALARI / NİSAN 2026,active
38,finans-nisan-2026-corteqs-net-hosting-invoice-png,Finans,Nisan 2026,Link,UBT,CORTEQS.NET  HOSTING INVOICE.png,corteqs.net hosting ödemesine ait fatura veya ödeme ekran görüntüsüdür.,https://drive.google.com/file/d/1Ic9qH1CWjttgyEZli6lSzDcaTsnMZOED/view?usp=drivesdk,1Ic9qH1CWjttgyEZli6lSzDcaTsnMZOED,PNG görsel,image/png,confidential,False,IMPORT_INTERNAL_DB,"muhasebe,fatura,ödeme",MUHASEBE DOSYALARI / NİSAN 2026,active
39,finans-nisan-2026-spare-domains-payment-list-csv-csv,Finans,Nisan 2026,Link,UBT,SPARE DOMAINS.PAYMENT LIST csv.csv,Yedek domain ödemelerinin listelendiği CSV dosyasıdır.,https://drive.google.com/file/d/1OQYESZ5YzsLma36uGX4zEs-RG7ZVLwxD/view?usp=drivesdk,1OQYESZ5YzsLma36uGX4zEs-RG7ZVLwxD,CSV,text/csv,confidential,False,IMPORT_INTERNAL_DB,"muhasebe,fatura,ödeme",MUHASEBE DOSYALARI / NİSAN 2026,active
40,finans-nisan-2026-receipt-ljp3ib9q-0001-gpt-business-subsc-2308-9126-6466-pdf,Finans,Nisan 2026,Link,UBT,Receipt-LJP3IB9Q-0001.GPT BUSINESS SUBSC. 2308-9126-6466.pdf,GPT Business aboneliğine ait ödeme makbuzu belgesidir.,https://drive.google.com/file/d/1ax3iOmd3mybRL1DGTNq9SMsp3m6aT4fR/view?usp=drivesdk,1ax3iOmd3mybRL1DGTNq9SMsp3m6aT4fR,PDF,application/pdf,confidential,False,IMPORT_INTERNAL_DB,"muhasebe,fatura,ödeme",MUHASEBE DOSYALARI / NİSAN 2026,active
41,finans-nisan-2026-corteqs-net-domain-payment-ss-png,Finans,Nisan 2026,Link,UBT,CORTEQS.NET DOMAIN PAYMENT SS.png,corteqs.net domain ödemesine ait ekran görüntüsüdür.,https://drive.google.com/file/d/1XDQS4W4bVptVTCuo_nvN3s-nnVNYS1L2/view?usp=drivesdk,1XDQS4W4bVptVTCuo_nvN3s-nnVNYS1L2,PNG görsel,image/png,confidential,False,IMPORT_INTERNAL_DB,"muhasebe,fatura,ödeme",MUHASEBE DOSYALARI / NİSAN 2026,active
42,finans-nisan-2026-clemta-2026-s-i-rket-o-demesi-png,Finans,Nisan 2026,Link,UBT,CLEMTA 2026 ŞİRKET ÖDEMESİ.png,Clemta 2026 şirket işlemi veya ödeme kaydına ait ekran görüntüsüdür.,https://drive.google.com/file/d/1jRceYgNGaQsYPJYOkd9uYIEzKBVBpNbJ/view?usp=drivesdk,1jRceYgNGaQsYPJYOkd9uYIEzKBVBpNbJ,PNG görsel,image/png,confidential,False,IMPORT_INTERNAL_DB,"muhasebe,fatura,ödeme",MUHASEBE DOSYALARI / NİSAN 2026,active
43,finans-mayis-2026-mayis-lovable-8-png,Finans,Mayıs 2026,Link,UBT,Mayıs Lovable 8.png,Mayıs ayına ait Lovable top-up veya ödeme kaydını gösteren ekran görüntüsüdür.,https://drive.google.com/file/d/1ni190on8hvk5xNTNT4X-QZkOYLH9g1qa/view?usp=drivesdk,1ni190on8hvk5xNTNT4X-QZkOYLH9g1qa,PNG görsel,image/png,confidential,False,IMPORT_INTERNAL_DB,"muhasebe,fatura,ödeme,mayıs",MUHASEBE DOSYALARI / MAYIS 2026,active
44,finans-mayis-2026-lovable-mayis-7-png,Finans,Mayıs 2026,Link,UBT,Lovable Mayıs 7.png,Mayıs ayına ait Lovable ödeme veya kullanım kaydını gösteren ekran görüntüsüdür.,https://drive.google.com/file/d/1buvmBosSBRhBRkqU9ilYr3COCPRmPEyK/view?usp=drivesdk,1buvmBosSBRhBRkqU9ilYr3COCPRmPEyK,PNG görsel,image/png,confidential,False,IMPORT_INTERNAL_DB,"muhasebe,fatura,ödeme,mayıs",MUHASEBE DOSYALARI / MAYIS 2026,active
45,finans-mayis-2026-supabase-emergent-google-cloud-jpg,Finans,Mayıs 2026,Link,UBT,Supabase+ Emergent+ Google Cloud.jpg,"Supabase, Emergent ve Google Cloud kullanımlarına ait finansal veya araç takip görselidir.",https://drive.google.com/file/d/1-x_Lk7w6s6WYmTEPIKLtolLoxxyWVJmI/view?usp=drivesdk,1-x_Lk7w6s6WYmTEPIKLtolLoxxyWVJmI,JPEG görsel,image/jpeg,confidential,False,IMPORT_INTERNAL_DB,"muhasebe,fatura,ödeme,mayıs",MUHASEBE DOSYALARI / MAYIS 2026,active
46,finans-mayis-2026-mayis-lovabale-6-png,Finans,Mayıs 2026,Link,UBT,Mayıs Lovabale 6..png,Mayıs ayına ait Lovable ödeme veya top-up kaydını gösteren ekran görüntüsüdür.,https://drive.google.com/file/d/18ub2DV9rjcL_hqtPhfKn_dXhvkxwyCXd/view?usp=drivesdk,18ub2DV9rjcL_hqtPhfKn_dXhvkxwyCXd,PNG görsel,image/png,confidential,False,IMPORT_INTERNAL_DB,"muhasebe,fatura,ödeme,mayıs",MUHASEBE DOSYALARI / MAYIS 2026,active
